Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,PricePerCupDollars,Processed,Cluster
Apples,Fresh,1.8541,per pound,0.9,0.2425,pounds,0.4996,0.4996,0,1
Apples,Canned,1.1705,per pound,1.0,0.5401,pounds,0.6323,0.6323,1,2
Apples,Juice,0.8699,per pint,1.0,8.0,fluid ounces,0.4349,0.4349,1,3
Apples,Juice,0.6086,per pint,1.0,8.0,fluid ounces,0.3043,0.3043,1,3
Apricots,Fresh,3.6162,per pound,0.93,0.3638,pounds,1.4145,1.4145,0,1
Apricots,Canned,1.8645,per pound,1.0,0.5401,pounds,1.0071,1.0071,1,2
Apricots,Canned,2.2362,per pound,0.65,0.4409,pounds,1.5169,1.5169,1,6
Apricots,Dried,7.6611,per pound,1.0,0.1433,pounds,1.0978,1.0978,1,0
Bananas,Fresh,0.5971,per pound,0.64,0.3307,pounds,0.3085,0.3085,0,5
Berries,Frozen,4.2673,per pound,1.0,0.3307,pounds,1.4112,1.4112,1,2
Blackberries,Fresh,6.7483,per pound,0.96,0.3197,pounds,2.2471,2.2471,0,4
Blackberries,Frozen,4.8277,per pound,1.0,0.3307,pounds,1.5965,1.5965,1,0
Blueberries,Fresh,4.1575,per pound,0.95,0.3197,pounds,1.399,1.399,0,1
Blueberries,Frozen,3.821,per pound,1.0,0.3307,pounds,1.2636,1.2636,1,2
Cantaloupe,Fresh,0.7523,per pound,0.51,0.3748,pounds,0.5528,0.5528,0,5
Cherries,Fresh,4.6632,per pound,0.92,0.3417,pounds,1.7321,1.7321,0,4
Cherries,Canned,5.2418,per pound,0.65,0.4409,pounds,3.5558,3.5558,1,7
Clementines,Fresh,1.5811,per pound,0.77,0.463,pounds,0.9507,0.9507,0,1
Cranberries,Dried,5.0828,per pound,1.0,0.1232,pounds,0.626,0.626,1,2
Dates,Dried,5.7499,per pound,1.0,0.1653,pounds,0.9507,0.9507,1,0
Figs,Dried,7.3233,per pound,0.96,0.1653,pounds,1.2613,1.2613,1,0
Fruit cocktail,Canned,2.394,per pound,1.0,0.5401,pounds,1.2931,1.2931,1,2
Fruit cocktail,Canned,2.0996,per pound,0.65,0.4409,pounds,1.4242,1.4242,1,6
Grapefruit,Fresh,1.4444,per pound,0.49,0.463,pounds,1.3647,1.3647,0,5
Grapefruit,Juice,1.1935,per pint,1.0,8.0,fluid ounces,0.5968,0.5968,1,3
Grapes,Fresh,2.0363,per pound,0.96,0.3307,pounds,0.7014,0.7014,0,1
Grapes (raisins),Dried,3.9936,per pound,1.0,0.1653,pounds,0.6603,0.6603,1,2
Grapes,Juice,1.0509,per pint,1.0,8.0,fluid ounces,0.5255,0.5255,1,3
Grapes,Juice,0.7524,per pint,1.0,8.0,fluid ounces,0.3762,0.3762,1,3
Honeydew,Fresh,1.1589,per pound,0.46,0.3748,pounds,0.9442,0.9442,0,5
Kiwi,Fresh,2.6064,per pound,0.76,0.3858,pounds,1.3231,1.3231,0,1
Mangoes,Fresh,1.4698,per pound,0.71,0.3638,pounds,0.7531,0.7531,0,5
Mangoes,Dried,10.3035,per pound,1.0,0.1253,pounds,1.2906,1.2906,1,0
Nectarines,Fresh,2.3721,per pound,0.91,0.3197,pounds,0.8333,0.8333,0,1
Oranges,Fresh,1.4624,per pound,0.68,0.4079,pounds,0.8771,0.8771,0,5
Oranges,Juice,1.0572,per pint,1.0,8.0,fluid ounces,0.5286,0.5286,1,3
